year,us_inf,jp_inf,eu_inf,us_unemp,jp_unemp,eu_unemp,us_r_unemp,jp_r_unemp,eu_r_unemp,us_changeInM,jp_changeInM,eu_changeInM,us_r_money,jp_r_money,eu_r_money
1960,1.46,3.57,1.74,5.54,1.62,5.54,,,,,,,,,
1961,1.07,5.37,1.87,6.69,1.44,6.69,,,,1.06754,,,,,
1962,1.20,6.84,2.75,5.57,1.29,5.57,,,,1.07778,,,,,
1963,1.24,6.71,2.92,5.64,1.26,5.64,,,,1.08429,,,,,
1964,1.28,3.80,3.66,5.16,1.17,5.16,,,,1.07826,,,,,
1965,1.59,6.66,3.67,4.51,1.23,4.51,,,,1.08095,,,,,
1966,3.02,5.04,3.43,3.79,1.32,3.79,,,,1.06537,,,,,
1967,2.77,3.99,2.99,3.84,1.25,3.84,,,,1.06845,,,,,
1968,4.27,5.34,3.24,3.56,1.18,3.56,,,,1.08271,,,,,
1969,5.46,5.25,2.65,3.49,1.13,3.49,,,,1.06130,,,,,
1970,5.84,6.92,4.14,4.98,1.18,4.98,-0.841154262,-0.278099149,-0.5391282107,1.03928,,,,,
1971,4.29,6.40,5.02,5.95,1.23,5.95,-0.6222671822,0.07598660363,-0.3735914096,1.12127,,1.12672,-0.3664926382,,
1972,3.27,4.84,5.91,5.60,1.41,5.60,-0.3680381005,0.2050084251,0.449433953,1.12420,,1.15259,-0.2823826096,,
1973,6.18,11.61,7.92,4.86,1.25,4.86,-0.2588833535,-0.1006113439,0.6653319654,1.09708,1.23828,1.14429,0.07920781176,,
1974,11.05,23.22,14.66,5.64,1.40,5.64,-0.04407646541,-0.009744302433,0.612522218,1.05867,1.14830,1.12900,0.2349588133,,
1975,9.14,11.73,12.23,8.48,1.89,8.48,0.3709071835,0.4671325179,0.61863996,1.09419,1.15129,1.12829,0.07412607306,,
1976,5.74,9.37,9.71,7.70,2.01,7.70,0.5808415916,0.3693868977,0.7272992676,1.12769,1.16911,1.15026,0.08048402614,,
1977,6.50,8.16,9.77,7.05,2.01,7.05,0.4682876957,0.2888950744,0.719024086,1.12393,1.13873,1.13173,0.0197300898,,
1978,7.63,4.21,7.57,6.07,2.23,6.07,0.3834213114,0.1781930567,0.6999602333,1.08274,1.13663,1.13654,0.01670228713,,
1979,11.25,3.70,8.47,5.85,2.08,5.85,0.2941111927,-0.08404936559,0.6393946338,1.07823,1.12772,1.12537,-0.06357005315,,
1980,13.55,7.78,13.54,7.18,2.02,7.18,0.1471795735,-0.2883243241,0.4874139265,1.08032,1.10204,1.09105,-0.2177845346,,
1981,10.33,4.91,11.51,7.62,2.21,7.62,0.2132142569,-0.3881283469,0.4347323387,1.09032,1.10332,1.10662,-0.6670714889,,-0.1484073
1982,6.13,2.74,9.58,9.71,2.35,9.71,0.2222372148,-0.575100983,0.4447941979,1.09030,1.10142,1.11023,-0.5539407322,,-0.1566576
1983,3.21,1.90,8.67,9.60,2.66,9.60,-0.1795457554,-0.8107847046,0.1775480989,1.12209,1.08419,1.09750,-0.3699098109,0.9154871448,0.0888066
1984,4.30,2.26,7.07,7.51,2.71,7.51,-0.605826826,-0.9262764396,-0.1672762121,1.08007,1.08274,1.08512,-0.5047190603,0.7489756291,0.0517290
1985,3.55,2.03,5.20,7.19,2.63,7.19,-0.4978893336,-0.8449502039,0.1600827861,1.08902,1.08410,1.08452,-0.3438355446,0.7966821141,0.2917511
1986,1.90,0.60,2.54,7.00,2.77,7.00,-0.4702518014,-0.8507134829,0.1218801827,1.08122,1.08574,1.07175,-0.2552702316,0.7993532147,0.4672816
1987,3.66,0.13,3.16,6.18,2.85,6.18,-0.3562516926,-0.8827757426,0.1748538426,1.06487,1.09738,1.07886,-0.2137824275,0.7001355416,0.5960490
1988,4.08,0.68,2.70,5.49,2.52,5.49,-0.2509116001,-0.8972599859,0.3131450316,1.05350,1.09865,1.08148,-0.2229962422,0.7082172095,0.7164956
1989,4.83,2.27,3.77,5.26,2.25,5.26,-0.1192181289,-0.8651323303,0.4565324632,1.04193,1.09781,1.09281,-0.1320861517,0.8272076479,0.8523614
1990,5.40,3.08,3.45,5.62,2.10,5.62,0.07925577929,-0.8490405322,0.5847511985,1.05508,1.10182,1.11121,-0.13616375,0.5378212796,0.7080020
1991,4.23,3.25,4.05,6.85,2.09,6.85,0.1108754398,-0.7569085377,0.7702345076,1.03720,1.05393,1.09381,-0.2844541526,0.5238869735,0.7000756
1992,3.03,1.76,5.16,7.49,2.15,7.49,0.02926437662,-0.793839433,0.8998734184,1.01869,1.04444,1.07862,-0.3069178585,0.2606116247,0.6508778
1993,2.95,1.24,4.57,6.91,2.50,6.91,-0.5286451649,-0.722250907,0.8412915983,1.01034,1.04152,1.06935,-0.05727130061,0.2985091933,0.4105218
1994,2.61,0.70,4.13,6.10,2.89,6.10,-0.5866877038,-0.7470552467,0.6543293031,1.01267,1.03580,1.04567,0.001250819053,0.3977013198,0.2147049
1995,2.81,-0.13,4.22,5.59,3.15,5.59,-0.6316504272,-0.8580489837,0.5606211374,1.02074,1.03839,1.03263,0.1137238038,0.5258181285,0.0306452
1996,2.93,0.14,2.98,5.41,3.37,5.41,-0.5435773526,-0.9178196145,0.3874606497,1.04841,1.03572,1.05325,0.601794235,0.6280063793,0.3123976
1997,2.34,1.75,2.11,4.94,3.40,4.94,-0.3311797936,-0.8900246104,0.7446193644,1.05041,1.02800,1.04087,0.5886602695,0.6785329847,0.4172973
1998,1.55,0.66,2.23,4.50,4.10,4.50,-0.1035321261,-0.7214501107,0.8299130768,1.07166,0.96921,1.05181,0.3203274723,0.8665241773,0.5844358
1999,2.19,-0.34,1.66,4.22,4.67,4.22,0.2049579921,-0.7198276987,0.8764036063,1.07402,1.00998,1.04746,-0.01871491384,0.8668556207,0.5932019
2000,3.38,-0.68,2.85,3.97,4.73,3.97,0.4302739334,-0.7614975409,0.932250922,1.06046,1.01754,1.05676,0.02719738788,0.8275956124,0.6444517
2001,2.83,-0.74,2.79,4.74,5.04,4.74,0.4919167384,-0.7783219628,0.8885984242,1.08630,1.00794,1.08383,-0.1452235291,0.6485485961,0.7058607
2002,1.59,-0.92,2.47,5.78,5.36,5.78,0.3279407898,-0.7903161613,0.8968180005,1.07461,1.01373,1.07089,-0.3794150309,0.6001010552,0.3032610
2003,2.27,-0.26,2.10,5.99,5.24,5.99,0.06563610308,-0.7767109768,0.7668573544,1.06984,1.00039,1.07655,-0.3381929265,0.54334768,-0.0538999
2004,2.68,-0.01,2.23,5.54,4.73,5.54,-0.1680209904,-0.7037684502,0.4557310127,1.04771,1.00770,1.05649,-0.3042900885,0.4709210776,-0.3419744
2005,3.39,-0.28,2.49,5.08,4.43,5.08,-0.1974140415,-0.6622967329,0.2190870394,1.04285,1.00397,1.07674,-0.3045404241,0.5167283654,-0.2877594
2006,3.23,0.25,2.67,4.61,4.12,4.61,-0.2195863406,-0.7922197845,0.006410775746,1.05243,0.99705,1.08667,-0.3406913374,0.5125199623,0.0952772
2007,2.85,0.06,2.45,4.62,3.83,4.62,-0.3180131518,-0.9017526954,-0.1610354282,1.06125,1.00337,1.11183,-0.4206534585,0.1420302266,0.0726189
2008,3.84,1.38,4.08,5.80,3.98,5.80,-0.333180942,-0.766732815,-0.1722705126,1.06776,1.00781,1.10281,-0.6606100255,-0.1529941847,0.5892857
